name,ticker,ticker_ex,sector,industry,cik_id,exchange_id,currency,instrument
Lockheed Martin Corp.,LMT,LMT US,Industrials,Aerospace & Defense,936468,US,USD,Stock
Loews Corp.,L,L US,Financials,Multi-line Insurance,60086,US,USD,Stock
Lowe's Cos.,LOW,LOW US,Consumer Discretionary,Home Improvement Retail,60667,US,USD,Stock
LyondellBasell,LYB,LYB US,Materials,Specialty Chemicals,1489393,US,USD,Stock
M&T Bank Corp.,MTB,MTB US,Financials,Regional Banks,36270,US,USD,Stock
Macerich,MAC,MAC US,Real Estate,Retail REITs,912242,US,USD,Stock
Macy's Inc.,M,M US,Consumer Discretionary,Department Stores,794367,US,USD,Stock
Marathon Oil Corp.,MRO,MRO US,Energy,Oil & Gas Exploration & Production,101778,US,USD,Stock
Marathon Petroleum,MPC,MPC US,Energy,Oil & Gas Refining & Marketing,1510295,US,USD,Stock
Marriott Int'l.,MAR,MAR US,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",1048286,US,USD,Stock
Marsh & McLennan,MMC,MMC US,Financials,Insurance Brokers,62709,US,USD,Stock
Martin Marietta Materials,MLM,MLM US,Materials,Construction Materials,916076,US,USD,Stock
Masco Corp.,MAS,MAS US,Industrials,Building Products,62996,US,USD,Stock
Mastercard Inc.,MA,MA US,Information Technology,Internet Software & Services,1141391,US,USD,Stock
Mattel Inc.,MAT,MAT US,Consumer Discretionary,Leisure Products,63276,US,USD,Stock
McCormick & Co.,MKC,MKC US,Consumer Staples,Packaged Foods & Meats,63754,US,USD,Stock
Maxim Integrated Products Inc,MXIM,MXIM US,Information Technology,Semiconductors,743316,US,USD,Stock
McDonald's Corp.,MCD,MCD US,Consumer Discretionary,Restaurants,63908,US,USD,Stock
McKesson Corp.,MCK,MCK US,Health Care,Health Care Distributors,927653,US,USD,Stock
Medtronic plc,MDT,MDT US,Health Care,Health Care Equipment,64670,US,USD,Stock
Merck & Co.,MRK,MRK US,Health Care,Pharmaceuticals,310158,US,USD,Stock
MetLife Inc.,MET,MET US,Financials,Life & Health Insurance,1099219,US,USD,Stock
Mettler Toledo,MTD,MTD US,Health Care,Life Sciences Tools & Services,1037646,US,USD,Stock
MGM Resorts International,MGM,MGM US,Consumer Discretionary,Casinos & Gaming,789570,US,USD,Stock
Microchip Technology,MCHP,MCHP US,Information Technology,Semiconductors,827054,US,USD,Stock
Micron Technology,MU,MU US,Information Technology,Semiconductors,723125,US,USD,Stock
Microsoft Corp.,MSFT,MSFT US,Information Technology,Systems Software,789019,US,USD,Stock
Mid-America Apartments,MAA,MAA US,Real Estate,Residential REITs,912595,US,USD,Stock
Mohawk Industries,MHK,MHK US,Consumer Discretionary,Home Furnishings,851968,US,USD,Stock
Molson Coors Brewing Company,TAP,TAP US,Consumer Staples,Brewers,24545,US,USD,Stock
Mondelez International,MDLZ,MDLZ US,Consumer Staples,Packaged Foods & Meats,1103982,US,USD,Stock
Monster Beverage,MNST,MNST US,Consumer Staples,Soft Drinks,865752,US,USD,Stock
Moody's Corp,MCO,MCO US,Financials,Financial Exchanges & Data,1059556,US,USD,Stock
Morgan Stanley,MS,MS US,Financials,Investment Banking & Brokerage,895421,US,USD,Stock
The Mosaic Company,MOS,MOS US,Materials,Fertilizers & Agricultural Chemicals,1285785,US,USD,Stock
Motorola Solutions Inc.,MSI,MSI US,Information Technology,Communications Equipment,68505,US,USD,Stock
MSCI Inc,MSCI,MSCI US,Financials,Financial Exchanges & Data,1408198,US,USD,Stock
Mylan N.V.,MYL,MYL US,Health Care,Pharmaceuticals,69499,US,USD,Stock
"Nasdaq, Inc.",NDAQ,NDAQ US,Financials,Financial Exchanges & Data,1120193,US,USD,Stock
National Oilwell Varco Inc.,NOV,NOV US,Energy,Oil & Gas Equipment & Services,1021860,US,USD,Stock
Nektar Therapeutics,NKTR,NKTR US,Health Care,Pharmaceuticals,906709,US,USD,Stock
NetApp,NTAP,NTAP US,Information Technology,Internet Software & Services,1002047,US,USD,Stock
Netflix Inc.,NFLX,NFLX US,Communication Services,Movies & Entertainment,1065280,US,USD,Stock
Newell Brands,NWL,NWL US,Consumer Discretionary,Housewares & Specialties,814453,US,USD,Stock
Newfield Exploration Co,NFX,NFX US,Energy,Oil & Gas Exploration & Production,912750,US,USD,Stock
Newmont Mining Corporation,NEM,NEM US,Materials,Gold,1164727,US,USD,Stock
News Corp. Class A,NWSA,NWSA US,Communication Services,Publishing,1564708,US,USD,Stock
News Corp. Class B,NWS,NWS US,Communication Services,Publishing,1564708,US,USD,Stock
NextEra Energy,NEE,NEE US,Utilities,Multi-Utilities,753308,US,USD,Stock
Nielsen Holdings,NLSN,NLSN US,Industrials,Research & Consulting Services,1492633,US,USD,Stock
Nike,NKE,NKE US,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",320187,US,USD,Stock
NiSource Inc.,NI,NI US,Utilities,Multi-Utilities,1111711,US,USD,Stock
Noble Energy Inc,NBL,NBL US,Energy,Oil & Gas Exploration & Production,72207,US,USD,Stock
Nordstrom,JWN,JWN US,Consumer Discretionary,Department Stores,72333,US,USD,Stock
Norfolk Southern Corp.,NSC,NSC US,Industrials,Railroads,702165,US,USD,Stock
Northern Trust Corp.,NTRS,NTRS US,Financials,Asset Management & Custody Banks,73124,US,USD,Stock
Northrop Grumman Corp.,NOC,NOC US,Industrials,Aerospace & Defense,1133421,US,USD,Stock
Norwegian Cruise Line,NCLH,NCLH US,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",1513761,US,USD,Stock
NRG Energy,NRG,NRG US,Utilities,Independent Power Producers & Energy Traders,1013871,US,USD,Stock
Nucor Corp.,NUE,NUE US,Materials,Steel,73309,US,USD,Stock
Nvidia Corporation,NVDA,NVDA US,Information Technology,Semiconductors,1045810,US,USD,Stock
O'Reilly Automotive,ORLY,ORLY US,Consumer Discretionary,Specialty Stores,898173,US,USD,Stock
Occidental Petroleum,OXY,OXY US,Energy,Oil & Gas Exploration & Production,797468,US,USD,Stock
Omnicom Group,OMC,OMC US,Communication Services,Advertising,29989,US,USD,Stock
ONEOK,OKE,OKE US,Energy,Oil & Gas Storage & Transportation,1039684,US,USD,Stock
Oracle Corp.,ORCL,ORCL US,Information Technology,Application Software,1341439,US,USD,Stock
PACCAR Inc.,PCAR,PCAR US,Industrials,Construction Machinery & Heavy Trucks,75362,US,USD,Stock
Packaging Corporation of America,PKG,PKG US,Materials,Paper Packaging,75677,US,USD,Stock
Parker-Hannifin,PH,PH US,Industrials,Industrial Machinery,76334,US,USD,Stock
Paychex Inc.,PAYX,PAYX US,Information Technology,Internet Software & Services,723531,US,USD,Stock
PayPal,PYPL,PYPL US,Information Technology,Data Processing & Outsourced Services,1633917,US,USD,Stock
Pentair plc,PNR,PNR US,Industrials,Industrial Machinery,77360,US,USD,Stock
People's United Financial,PBCT,PBCT US,Financials,Thrifts & Mortgage Finance,1378946,US,USD,Stock
PepsiCo Inc.,PEP,PEP US,Consumer Staples,Soft Drinks,77476,US,USD,Stock
PerkinElmer,PKI,PKI US,Health Care,Health Care Equipment,31791,US,USD,Stock
Perrigo,PRGO,PRGO US,Health Care,Pharmaceuticals,1585364,US,USD,Stock
Pfizer Inc.,PFE,PFE US,Health Care,Pharmaceuticals,78003,US,USD,Stock
Philip Morris International,PM,PM US,Consumer Staples,Tobacco,1413329,US,USD,Stock
Phillips 66,PSX,PSX US,Energy,Oil & Gas Refining & Marketing,1534701,US,USD,Stock
Pinnacle West Capital,PNW,PNW US,Utilities,Multi-Utilities,764622,US,USD,Stock
Pioneer Natural Resources,PXD,PXD US,Energy,Oil & Gas Exploration & Production,1038357,US,USD,Stock
PNC Financial Services,PNC,PNC US,Financials,Regional Banks,713676,US,USD,Stock
Polo Ralph Lauren Corp.,RL,RL US,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",1037038,US,USD,Stock
PPG Industries,PPG,PPG US,Materials,Specialty Chemicals,79879,US,USD,Stock
PPL Corp.,PPL,PPL US,Utilities,Electric Utilities,922224,US,USD,Stock
Principal Financial Group,PFG,PFG US,Financials,Life & Health Insurance,1126328,US,USD,Stock
Procter & Gamble,PG,PG US,Consumer Staples,Personal Products,80424,US,USD,Stock
Progressive Corp.,PGR,PGR US,Financials,Property & Casualty Insurance,80661,US,USD,Stock
Prologis,PLD,PLD US,Real Estate,Industrial REITs,1045609,US,USD,Stock
Prudential Financial,PRU,PRU US,Financials,Life & Health Insurance,1137774,US,USD,Stock
Public Serv. Enterprise Inc.,PEG,PEG US,Utilities,Electric Utilities,788784,US,USD,Stock
Public Storage,PSA,PSA US,Real Estate,Specialized REITs,1393311,US,USD,Stock
Pulte Homes Inc.,PHM,PHM US,Consumer Discretionary,Homebuilding,822416,US,USD,Stock
PVH Corp.,PVH,PVH US,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",78239,US,USD,Stock
Qorvo,QRVO,QRVO US,Information Technology,Semiconductors,1604778,US,USD,Stock
Quanta Services Inc.,PWR,PWR US,Industrials,Construction & Engineering,1050915,US,USD,Stock
QUALCOMM Inc.,QCOM,QCOM US,Information Technology,Semiconductors,804328,US,USD,Stock
Quest Diagnostics,DGX,DGX US,Health Care,Health Care Services,1022079,US,USD,Stock
Raymond James Financial Inc.,RJF,RJF US,Financials,Investment Banking & Brokerage,720005,US,USD,Stock
Raytheon Co.,RTN,RTN US,Industrials,Aerospace & Defense,1047122,US,USD,Stock
Realty Income Corporation,O,O US,Real Estate,Retail REITs,726728,US,USD,Stock
Red Hat Inc.,RHT,RHT US,Information Technology,Systems Software,1087423,US,USD,Stock
Regency Centers Corporation,REG,REG US,Real Estate,Retail REITs,910606,US,USD,Stock
Regeneron,REGN,REGN US,Health Care,Biotechnology,872589,US,USD,Stock
Regions Financial Corp.,RF,RF US,Financials,Regional Banks,1281761,US,USD,Stock
Republic Services Inc,RSG,RSG US,Industrials,Environmental & Facilities Services,1060391,US,USD,Stock
ResMed,RMD,RMD US,Health Care,Health Care Equipment,943819,US,USD,Stock
Robert Half International,RHI,RHI US,Industrials,Human Resource & Employment Services,315213,US,USD,Stock
Rockwell Automation Inc.,ROK,ROK US,Industrials,Electrical Components & Equipment,1024478,US,USD,Stock
Rollins Inc.,ROL,ROL US,Industrials,Environmental & Facilities Services,84839,US,USD,Stock
Roper Technologies,ROP,ROP US,Industrials,Industrial Conglomerates,882835,US,USD,Stock
Ross Stores,ROST,ROST US,Consumer Discretionary,Apparel Retail,745732,US,USD,Stock
Royal Caribbean Cruises Ltd,RCL,RCL US,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",884887,US,USD,Stock
Salesforce.com,CRM,CRM US,Information Technology,Internet Software & Services,1108524,US,USD,Stock
SBA Communications,SBAC,SBAC US,Real Estate,Specialized REITs,1034054,US,USD,Stock
Schlumberger Ltd.,SLB,SLB US,Energy,Oil & Gas Equipment & Services,87347,US,USD,Stock
Seagate Technology,STX,STX US,Information Technology,"Technology Hardware, Storage & Peripherals",1137789,US,USD,Stock
Sealed Air,SEE,SEE US,Materials,Paper Packaging,1012100,US,USD,Stock
Sempra Energy,SRE,SRE US,Utilities,Multi-Utilities,1032208,US,USD,Stock
Sherwin-Williams,SHW,SHW US,Materials,Specialty Chemicals,89800,US,USD,Stock
Simon Property Group Inc,SPG,SPG US,Real Estate,Retail REITs,1063761,US,USD,Stock
Skyworks Solutions,SWKS,SWKS US,Information Technology,Semiconductors,4127,US,USD,Stock
SL Green Realty,SLG,SLG US,Real Estate,Office REITs,1040971,US,USD,Stock
Snap-on,SNA,SNA US,Industrials,Industrial Machinery,91440,US,USD,Stock
Southern Co.,SO,SO US,Utilities,Electric Utilities,92122,US,USD,Stock
Southwest Airlines,LUV,LUV US,Industrials,Airlines,92380,US,USD,Stock
"S&P Global, Inc.",SPGI,SPGI US,Financials,Financial Exchanges & Data,64040,US,USD,Stock
Stanley Black & Decker,SWK,SWK US,Industrials,Industrial Machinery,93556,US,USD,Stock
Starbucks Corp.,SBUX,SBUX US,Consumer Discretionary,Restaurants,829224,US,USD,Stock
State Street Corp.,STT,STT US,Financials,Asset Management & Custody Banks,93751,US,USD,Stock
Stryker Corp.,SYK,SYK US,Health Care,Health Care Equipment,310764,US,USD,Stock
SunTrust Banks,STI,STI US,Financials,Regional Banks,750556,US,USD,Stock
SVB Financial,SIVB,SIVB US,Financials,Regional Banks,719739,US,USD,Stock
Symantec Corp.,SYMC,SYMC US,Information Technology,Application Software,849399,US,USD,Stock
Synchrony Financial,SYF,SYF US,Financials,Consumer Finance,1601712,US,USD,Stock
Synopsys Inc.,SNPS,SNPS US,Information Technology,Application Software,883241,US,USD,Stock
Sysco Corp.,SYY,SYY US,Consumer Staples,Food Distributors,96021,US,USD,Stock
T. Rowe Price Group,TROW,TROW US,Financials,Asset Management & Custody Banks,1113169,US,USD,Stock
Take-Two Interactive,TTWO,TTWO US,Communication Services,Interactive Home Entertainment,946581,US,USD,Stock
"Tapestry, Inc.",TPR,TPR US,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",1116132,US,USD,Stock
Target Corp.,TGT,TGT US,Consumer Discretionary,General Merchandise Stores,27419,US,USD,Stock
TE Connectivity Ltd.,TEL,TEL US,Information Technology,Electronic Manufacturing Services,1385157,US,USD,Stock
TechnipFMC,FTI,FTI US,Energy,Oil & Gas Equipment & Services,1681459,US,USD,Stock
Teleflex Inc,TFX,TFX US,Health Care,Health Care Equipment,96943,US,USD,Stock
Texas Instruments,TXN,TXN US,Information Technology,Semiconductors,97476,US,USD,Stock
Textron Inc.,TXT,TXT US,Industrials,Aerospace & Defense,217346,US,USD,Stock
Thermo Fisher Scientific,TMO,TMO US,Health Care,Health Care Equipment,97745,US,USD,Stock
Tiffany & Co.,TIF,TIF US,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",98246,US,USD,Stock
"Twitter, Inc.",TWTR,TWTR US,Communication Services,Interactive Media & Services,1418091,US,USD,Stock
TJX Companies Inc.,TJX,TJX US,Consumer Discretionary,Apparel Retail,109198,US,USD,Stock
Torchmark Corp.,TMK,TMK US,Financials,Life & Health Insurance,320335,US,USD,Stock
Total System Services,TSS,TSS US,Information Technology,Internet Software & Services,721683,US,USD,Stock
Tractor Supply Company,TSCO,TSCO US,Consumer Discretionary,Specialty Stores,916365,US,USD,Stock
TransDigm Group,TDG,TDG US,Industrials,Aerospace & Defense,1260221,US,USD,Stock
The Travelers Companies Inc.,TRV,TRV US,Financials,Property & Casualty Insurance,86312,US,USD,Stock
TripAdvisor,TRIP,TRIP US,Communication Services,Interactive Media & Services,1526520,US,USD,Stock
Twenty-First Century Fox Class A,FOXA,FOXA US,Communication Services,Movies & Entertainment,1308161,US,USD,Stock
Twenty-First Century Fox Class B,FOX,FOX US,Communication Services,Movies & Entertainment,1308161,US,USD,Stock
Tyson Foods,TSN,TSN US,Consumer Staples,Packaged Foods & Meats,100493,US,USD,Stock
UDR Inc,UDR,UDR US,Real Estate,Residential REITs,74208,US,USD,Stock
Ulta Beauty,ULTA,ULTA US,Consumer Discretionary,Specialty Stores,1403568,US,USD,Stock
U.S. Bancorp,USB,USB US,Financials,Diversified Banks,36104,US,USD,Stock
Under Armour Class A,UAA,UAA US,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",1336917,US,USD,Stock
Under Armour Class C,UA,UA US,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",1336917,US,USD,Stock
Union Pacific,UNP,UNP US,Industrials,Railroads,100885,US,USD,Stock
United Continental Holdings,UAL,UAL US,Industrials,Airlines,100517,US,USD,Stock
United Health Group Inc.,UNH,UNH US,Health Care,Managed Health Care,731766,US,USD,Stock
United Parcel Service,UPS,UPS US,Industrials,Air Freight & Logistics,1090727,US,USD,Stock
"United Rentals, Inc.",URI,URI US,Industrials,Trading Companies & Distributors,1067701,US,USD,Stock
United Technologies,UTX,UTX US,Industrials,Aerospace & Defense,101829,US,USD,Stock
"Universal Health Services, Inc.",UHS,UHS US,Health Care,Health Care Facilities,352915,US,USD,Stock
Unum Group,UNM,UNM US,Financials,Life & Health Insurance,5513,US,USD,Stock
V.F. Corp.,VFC,VFC US,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",103379,US,USD,Stock
Valero Energy,VLO,VLO US,Energy,Oil & Gas Refining & Marketing,1035002,US,USD,Stock
Varian Medical Systems,VAR,VAR US,Health Care,Health Care Equipment,203527,US,USD,Stock
Ventas Inc,VTR,VTR US,Real Estate,Health Care REITs,740260,US,USD,Stock
Verisign Inc.,VRSN,VRSN US,Information Technology,Internet Services & Infrastructure,1014473,US,USD,Stock
Verisk Analytics,VRSK,VRSK US,Industrials,Research & Consulting Services,1442145,US,USD,Stock
Verizon Communications,VZ,VZ US,Communication Services,Integrated Telecommunication Services,732712,US,USD,Stock
Vertex Pharmaceuticals Inc,VRTX,VRTX US,Health Care,Biotechnology,875320,US,USD,Stock
Viacom Inc.,VIAB,VIAB US,Communication Services,Movies & Entertainment,1339947,US,USD,Stock
Visa Inc.,V,V US,Information Technology,Internet Software & Services,1403161,US,USD,Stock
Vornado Realty Trust,VNO,VNO US,Real Estate,Office REITs,899689,US,USD,Stock
Vulcan Materials,VMC,VMC US,Materials,Construction Materials,1396009,US,USD,Stock
Walmart,WMT,WMT US,Consumer Staples,Hypermarkets & Super Centers,104169,US,USD,Stock
Walgreens Boots Alliance,WBA,WBA US,Consumer Staples,Drug Retail,1618921,US,USD,Stock
The Walt Disney Company,DIS,DIS US,Communication Services,Movies & Entertainment,1001039,US,USD,Stock
Waste Management Inc.,WM,WM US,Industrials,Environmental & Facilities Services,823768,US,USD,Stock
Waters Corporation,WAT,WAT US,Health Care,Health Care Distributors,1000697,US,USD,Stock
Wec Energy Group Inc,WEC,WEC US,Utilities,Electric Utilities,783325,US,USD,Stock
WellCare,WCG,WCG US,Health Care,Managed Health Care,1279363,US,USD,Stock
Wells Fargo,WFC,WFC US,Financials,Diversified Banks,72971,US,USD,Stock
Welltower Inc.,WELL,WELL US,Real Estate,Health Care REITs,766704,US,USD,Stock
Western Digital,WDC,WDC US,Information Technology,"Technology Hardware, Storage & Peripherals",106040,US,USD,Stock
Western Union Co,WU,WU US,Information Technology,Internet Software & Services,1365135,US,USD,Stock
WestRock,WRK,WRK US,Materials,Paper Packaging,1636023,US,USD,Stock
Weyerhaeuser,WY,WY US,Real Estate,Specialized REITs,106535,US,USD,Stock
Whirlpool Corp.,WHR,WHR US,Consumer Discretionary,Household Appliances,106640,US,USD,Stock
Williams Cos.,WMB,WMB US,Energy,Oil & Gas Storage & Transportation,107263,US,USD,Stock
Willis Towers Watson,WLTW,WLTW US,Financials,Insurance Brokers,1140536,US,USD,Stock
Wynn Resorts Ltd,WYNN,WYNN US,Consumer Discretionary,Casinos & Gaming,1174922,US,USD,Stock
Xcel Energy Inc,XEL,XEL US,Utilities,Multi-Utilities,72903,US,USD,Stock
Xerox,XRX,XRX US,Information Technology,"Technology Hardware, Storage & Peripherals",108772,US,USD,Stock
Xilinx,XLNX,XLNX US,Information Technology,Semiconductors,743988,US,USD,Stock
Xylem Inc.,XYL,XYL US,Industrials,Industrial Machinery,1524472,US,USD,Stock
Yum! Brands Inc,YUM,YUM US,Consumer Discretionary,Restaurants,1041061,US,USD,Stock
Zimmer Biomet Holdings,ZBH,ZBH US,Health Care,Health Care Equipment,1136869,US,USD,Stock
Zions Bancorp,ZION,ZION US,Financials,Regional Banks,109380,US,USD,Stock
Zoetis,ZTS,ZTS US,Health Care,Pharmaceuticals,1555280,US,USD,Stock
